City,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Weather,Visibility (km),Sunrise (UTC),Sunset (UTC),Timezone,Cloudiness (%),Daylight Duration (hrs)
Amsterdam,11,11,87,1004,26,Scattered clouds,10,2025-10-29T06:30:47.000,2025-10-29T16:17:19.000,3600,40,9.775555556
Bangkok,31,35,63,1007,11,Overcast clouds,10,2025-10-28T23:11:25.000,2025-10-29T10:51:42.000,25200,100,11.67138889
Barcelona,16,16,67,1012,17,Broken clouds,10,2025-10-29T06:19:12.000,2025-10-29T16:50:45.000,3600,75,10.52583333
Beijing,12,10,42,1019,3,Few clouds,10,2025-10-28T22:39:29.000,2025-10-29T09:16:36.000,28800,20,10.61861111
Berlin,9,6,91,1009,19,Clear sky,10,2025-10-29T05:57:03.000,2025-10-29T15:42:54.000,3600,0,9.764166667
Brussels,11,11,91,1006,15,Broken clouds,10,2025-10-29T06:29:12.000,2025-10-29T16:23:14.000,3600,75,9.900555556
Budapest,13,12,64,1018,5,Light rain,10,2025-10-29T05:22:56.000,2025-10-29T15:31:59.000,3600,100,10.15083333
Buenos aires,10,9,74,1030,11,Clear sky,10,2025-10-29T08:54:34.000,2025-10-29T22:19:40.000,-10800,0,13.41833333
Cairo,23,24,68,1018,17,Few clouds,10,2025-10-29T04:06:32.000,2025-10-29T15:10:42.000,10800,20,11.06944444
Cape town,20,20,59,1021,33,Clear sky,10,2025-10-29T03:48:36.000,2025-10-29T17:11:15.000,7200,0,13.3775
Chicago,10,8,77,1017,11,Overcast clouds,10,2025-10-29T12:19:31.000,2025-10-29T22:48:53.000,-18000,98,10.48944444
Copenhagen,9,6,92,1001,26,Broken clouds,10,2025-10-29T06:09:14.000,2025-10-29T15:37:29.000,3600,75,9.470833333
Delhi,27,28,54,1011,6,Smoke,1.6,2025-10-29T01:00:51.000,2025-10-29T12:08:40.000,19800,40,11.13027778
Doha,31,32,51,1012,17,Few clouds,10,2025-10-29T02:39:39.000,2025-10-29T13:55:19.000,10800,20,11.26111111
Dubai,34,36,43,1012,19,Clear sky,10,2025-10-29T02:24:32.000,2025-10-29T13:40:16.000,14400,0,11.26222222
Dublin,16,15,55,1020,13,Clear sky,10,2025-10-29T14:30:07.000,2025-10-30T01:12:33.000,-25200,0,10.70722222
Geneva,9,8,70,1016,6,Overcast clouds,10,2025-10-29T12:22:12.000,2025-10-29T22:51:26.000,-18000,100,10.48722222
Helsinki,6,5,98,996,6,Broken clouds,10,2025-10-29T05:35:15.000,2025-10-29T14:32:30.000,7200,75,8.954166667
Hong kong,26,26,64,1015,21,Overcast clouds,10,2025-10-28T22:25:43.000,2025-10-29T09:48:17.000,28800,100,11.37611111
Istanbul,15,14,63,1024,9,Clear sky,10,2025-10-29T04:31:14.000,2025-10-29T15:04:08.000,10800,0,10.54833333
Jakarta,33,37,56,1008,15,Scattered clouds,6,2025-10-28T22:26:52.000,2025-10-29T10:45:38.000,25200,40,12.31277778
Karachi,32,31,29,1009,37,Dust,4,2025-10-29T01:37:00.000,2025-10-29T12:53:35.000,18000,2,11.27638889
Kuala lumpur,33,38,59,1008,22,Few clouds,10,2025-10-28T22:56:28.000,2025-10-29T10:57:18.000,28800,20,12.01388889
Lagos,28,31,77,1014,5,Overcast clouds,10,2025-10-29T05:31:32.000,2025-10-29T17:25:42.000,3600,89,11.90277778
Lima,17,17,87,1014,19,Overcast clouds,10,2025-10-29T10:36:24.000,2025-10-29T23:07:02.000,-18000,100,12.51055556
London,12,11,84,1002,11,Overcast clouds,10,2025-10-29T06:48:43.000,2025-10-29T16:39:31.000,0,100,9.846666667
Los angeles,21,20,49,1016,11,Clear sky,10,2025-10-29T14:10:05.000,2025-10-30T01:03:04.000,-25200,0,10.88305556
Madrid,11,11,93,1009,2,Overcast clouds,10,2025-10-29T06:41:04.000,2025-10-29T17:15:46.000,3600,100,10.57833333
Melbourne,19,19,92,1010,13,Clear sky,10,2025-10-29T11:31:45.000,2025-10-29T22:40:19.000,-14400,0,11.14277778
Mexico city,16,14,38,1020,8,Clear sky,10,2025-10-29T12:36:03.000,2025-10-30T00:04:10.000,-21600,1,11.46861111
Moscow,7,4,56,1005,12,Overcast clouds,10,2025-10-29T04:29:07.000,2025-10-29T13:57:12.000,10800,100,9.468055556
Mumbai,32,36,58,1004,22,Smoke,4,2025-10-29T01:07:30.000,2025-10-29T12:36:58.000,19800,40,11.49111111
Nairobi,19,19,82,1016,11,Light rain,10,2025-10-29T03:11:42.000,2025-10-29T15:21:00.000,10800,75,12.155
New york,10,6,69,1021,30,Broken clouds,10,2025-10-29T11:23:00.000,2025-10-29T21:56:15.000,-14400,75,10.55416667
Oslo,5,5,92,997,1,Broken clouds,10,2025-10-29T06:31:05.000,2025-10-29T15:30:10.000,3600,59,8.984722222
Paris,11,10,94,1006,13,Overcast clouds,10,2025-10-29T06:32:39.000,2025-10-29T16:35:47.000,3600,100,10.05222222
Prague,11,10,82,1013,17,Clear sky,10,2025-10-29T05:47:05.000,2025-10-29T15:44:47.000,3600,0,9.961666667
Riyadh,30,28,16,1016,6,Clear sky,10,2025-10-29T02:58:14.000,2025-10-29T14:15:14.000,10800,0,11.28333333
Rome,11,10,87,1013,2,Overcast clouds,10,2025-10-29T11:57:58.000,2025-10-29T22:50:33.000,-14400,100,10.87638889
São paulo,19,19,99,1015,6,Mist,5,2025-10-29T08:22:17.000,2025-10-29T21:18:01.000,-10800,75,12.92888889
Seoul,17,16,51,1027,11,Clear sky,10,2025-10-28T21:53:33.000,2025-10-29T08:37:53.000,32400,0,10.73888889
Singapore,32,37,56,1008,13,Broken clouds,10,2025-10-28T22:46:03.000,2025-10-29T10:50:25.000,28800,75,12.07277778
Stockholm,5,4,98,996,6,Fog,1,2025-10-29T05:59:32.000,2025-10-29T15:03:11.000,3600,100,9.060833333
Sydney,16,16,89,1016,22,Overcast clouds,10,2025-10-28T18:57:56.000,2025-10-29T08:19:41.000,39600,100,13.3625
Tehran,25,24,15,1015,11,Clear sky,8,2025-10-29T02:53:17.000,2025-10-29T13:42:36.000,12600,0,10.82194444
Tokyo,15,14,55,1028,24,Clear sky,10,2025-10-28T20:59:57.000,2025-10-29T07:49:47.000,32400,0,10.83055556
Toronto,5,-1,76,1024,37,Few clouds,10,2025-10-29T11:49:48.000,2025-10-29T22:12:44.000,-14400,20,10.38222222
Vienna,13,12,70,1016,7,Clear sky,10,2025-10-29T05:35:06.000,2025-10-29T15:41:09.000,3600,0,10.10083333
Warsaw,10,9,87,1009,28,Broken clouds,10,2025-10-29T05:25:51.000,2025-10-29T15:13:17.000,3600,75,9.790555556
Zurich,7,7,93,1013,3,Broken clouds,10,2025-10-29T06:04:40.000,2025-10-29T16:14:10.000,3600,62,10.15833333
